MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20110719,TX,0.00,100.00,98.96,95.78,91.19,75.16,2011-07-19,2011-07-25,1
20110712,TX,0.00,100.00,97.43,95.78,90.97,71.66,2011-07-12,2011-07-18,1
20110705,TX,2.41,97.59,95.73,94.39,90.21,71.30,2011-07-05,2011-07-11,1
20110628,TX,2.68,97.32,95.71,94.52,90.62,72.32,2011-06-28,2011-07-04,1
20110621,TX,3.33,96.67,95.71,94.52,91.31,70.61,2011-06-21,2011-06-27,1
20110614,TX,1.98,98.02,96.52,94.76,88.56,64.78,2011-06-14,2011-06-20,1
20110607,TX,1.98,98.02,96.52,94.04,85.41,57.83,2011-06-07,2011-06-13,1
20110531,TX,2.25,97.75,96.07,91.89,81.09,50.65,2011-05-31,2011-06-06,1
20110524,TX,2.30,97.70,95.77,91.97,78.48,43.97,2011-05-24,2011-05-30,1
20110517,TX,0.00,100.00,97.01,92.40,80.01,47.87,2011-05-17,2011-05-23,1
20110510,TX,0.00,100.00,97.78,93.88,82.06,47.55,2011-05-10,2011-05-16,1
20110503,TX,0.00,100.00,98.86,93.99,73.74,25.96,2011-05-03,2011-05-09,1
20110426,TX,0.00,100.00,100.00,94.97,70.42,17.16,2011-04-26,2011-05-02,1
20110419,TX,0.00,100.00,100.00,91.52,67.97,14.99,2011-04-19,2011-04-25,1
20110412,TX,0.00,100.00,97.94,86.44,60.58,10.03,2011-04-12,2011-04-18,1
20110405,TX,0.00,100.00,97.99,86.50,60.15,4.82,2011-04-05,2011-04-11,1
20110329,TX,0.00,100.00,94.87,78.54,43.07,0.00,2011-03-29,2011-04-04,1
20110322,TX,1.70,98.30,92.05,64.06,28.98,0.00,2011-03-22,2011-03-28,1
20110315,TX,3.23,96.77,83.75,56.99,17.13,0.00,2011-03-15,2011-03-21,1
20110308,TX,8.31,91.69,77.99,53.64,14.16,0.00,2011-03-08,2011-03-14,1
20110301,TX,4.99,95.01,72.91,46.35,12.72,0.00,2011-03-01,2011-03-07,1
20110222,TX,5.08,94.92,69.75,45.25,12.64,0.00,2011-02-22,2011-02-28,1
20110215,TX,12.52,87.48,58.12,37.35,7.78,0.00,2011-02-15,2011-02-21,1
20110208,TX,15.72,84.28,57.15,37.35,7.78,0.00,2011-02-08,2011-02-14,1
20110201,TX,19.47,80.53,53.00,35.11,6.93,0.00,2011-02-01,2011-02-07,1
20110125,TX,19.47,80.53,53.00,31.56,8.66,0.00,2011-01-25,2011-01-31,1
20110118,TX,23.28,76.72,51.42,25.62,7.30,0.00,2011-01-18,2011-01-24,1
20110111,TX,20.16,79.84,59.13,25.37,9.48,0.00,2011-01-11,2011-01-17,1
20110104,TX,13.54,86.46,66.68,36.30,13.04,0.00,2011-01-04,2011-01-10,1
20101228,TX,7.89,92.11,69.44,37.46,9.59,0.00,2010-12-28,2011-01-03,1
